date,avg_actual_demand,demand_ma_7,demand_ma_14,shift_strength,change_point,prev_cp,regime_start,regime_type,marker_label,event_explanation,narrative
2025-04-03,45.35438870391896,40.198048727053454,38.427981506383865,1.7700672206695884,1,0.0,1,positive,Positive regime shift,Demand shifted upward beyond baseline indicating structural growth.,Market entered a sustained growth phase driven by demand expansion.
2025-04-18,43.29184958003393,43.82792207029526,45.14059739654197,-1.312675326246712,1,0.0,1,negative,Negative regime shift,Demand shifted downward beyond baseline indicating structural decline.,Market entered a sustained contraction phase driven by demand decline.
2025-05-02,46.80437307265742,45.927473791990856,44.571771381613,1.3557024103778588,1,0.0,1,positive,Positive regime shift,Demand shifted upward beyond baseline indicating structural growth.,Market entered a sustained growth phase driven by demand expansion.
2025-05-14,43.33165795399018,43.863205617926475,45.32156665120004,-1.4583610332735617,1,0.0,1,negative,Negative regime shift,Demand shifted downward beyond baseline indicating structural decline.,Market entered a sustained contraction phase driven by demand decline.
2025-06-11,43.64564680928613,44.29292451736571,45.589137444198634,-1.296212926832922,1,0.0,1,negative,Negative regime shift,Demand shifted downward beyond baseline indicating structural decline.,Market entered a sustained contraction phase driven by demand decline.
2025-06-21,49.147375297408814,46.85430355620239,45.46568166016972,1.3886218960326673,1,0.0,1,positive,Positive regime shift,Demand shifted upward beyond baseline indicating structural growth.,Market entered a sustained growth phase driven by demand expansion.
